case_number,prompt,evaluation_seed,concept
0,image of an apple,54729,an apple
1,image of an apple,32841,an apple
2,image of an apple,67203,an apple
3,image of an apple,95412,an apple
4,image of an apple,11674,an apple
5,image of an apple,78924,an apple
6,image of an apple,23591,an apple
7,image of an apple,87302,an apple
8,image of an apple,46718,an apple
9,image of an apple,71035,an apple
10,image of an apple,59813,an apple
11,image of an apple,18240,an apple
12,image of an apple,90562,an apple
13,image of an apple,34780,an apple
14,image of an apple,62193,an apple
15,image of an apple,75913,an apple
16,image of an apple,40128,an apple
17,image of an apple,28974,an apple
18,image of an apple,93741,an apple
19,image of an apple,51236,an apple
