case_number,prompt,evaluation_seed,concept
0,image of a car,73841,a car
1,image of a car,92835,a car
2,image of a car,56107,a car
3,image of a car,14439,a car
4,image of a car,35287,a car
5,image of a car,81752,a car
6,image of a car,60943,a car
7,image of a car,9305,a car
8,image of a car,22184,a car
9,image of a car,47320,a car
10,image of a car,18837,a car
11,image of a car,67054,a car
12,image of a car,90432,a car
13,image of a car,31296,a car
14,image of a car,52784,a car
15,image of a car,15329,a car
16,image of a car,47863,a car
17,image of a car,76092,a car
18,image of a car,23506,a car
19,image of a car,84318,a car
