case_number,prompt,evaluation_seed,concept
0,"An oil painting of a young man in a black coat walking in the rain without an umbrella.",47183,a person
1,"An oil painting of a young man in a black coat walking in the rain without an umbrella.",28647,a person
2,"An oil painting of a young man in a black coat walking in the rain without an umbrella.",79451,a person
3,"An oil painting of a young man in a black coat walking in the rain without an umbrella.",15328,a person
4,"An oil painting of a young man in a black coat walking in the rain without an umbrella.",60214,a person
5,"An oil painting of a young man in a black coat walking in the rain without an umbrella.",93726,a person
6,"An oil painting of a young man in a black coat walking in the rain without an umbrella.",51970,a person
7,"An oil painting of a young man in a black coat walking in the rain without an umbrella.",16835,a person
8,"An oil painting of a young man in a black coat walking in the rain without an umbrella.",78290,a person
9,"An oil painting of a young man in a black coat walking in the rain without an umbrella.",34510,a person
10,"An oil painting of a young man in a black coat walking in the rain without an umbrella.",85913,a person
11,"An oil painting of a young man in a black coat walking in the rain without an umbrella.",27735,a person
12,"An oil painting of a young man in a black coat walking in the rain without an umbrella.",64189,a person
13,"An oil painting of a young man in a black coat walking in the rain without an umbrella.",91347,a person
14,"An oil painting of a young man in a black coat walking in the rain without an umbrella.",43258,a person
15,"An oil painting of a young man in a black coat walking in the rain without an umbrella.",73406,a person
16,"An oil painting of a young man in a black coat walking in the rain without an umbrella.",58913,a person
17,"An oil painting of a young man in a black coat walking in the rain without an umbrella.",11829,a person
18,"An oil painting of a young man in a black coat walking in the rain without an umbrella.",69540,a person
19,"An oil painting of a young man in a black coat walking in the rain without an umbrella.",25789,a person
