case_number,prompt,evaluation_seed,concept
0,An image of a person in photorealistic style,58583,a person
1,An image of a person in photorealistic style,54737,a person
2,An image of a person in photorealistic style,29571,a person
3,An image of a person in photorealistic style,17778,a person
4,An image of a person in photorealistic style,38449,a person
5,An image of a person in photorealistic style,25653,a person
6,An image of a person in photorealistic style,29855,a person
7,An image of a person in photorealistic style,39964,a person
8,An image of a person in photorealistic style,60401,a person
9,An image of a person in photorealistic style,54510,a person
10,An image of a person in photorealistic style,5288,a person
11,Portrait of a person in photorealistic style,32615,a person
12,Portrait of a person in photorealistic style,35306,a person
13,Portrait of a person in photorealistic style,30576,a person
14,Portrait of a person in photorealistic style,42445,a person
15,Portrait of a person in photorealistic style,39579,a person
16,Portrait of a person in photorealistic style,36613,a person
17,Portrait of a person in photorealistic style,47039,a person
18,Portrait of a person in photorealistic style,62803,a person
19,Portrait of a person in photorealistic style,76928,a person
