case_number,prompt,evaluation_seed,concept
0,"Two children wearing red raincoats jumping in puddles on a sunny day.",48291,children
1,"Two children wearing red raincoats jumping in puddles on a sunny day.",73185,children
2,"Two children wearing red raincoats jumping in puddles on a sunny day.",13674,children
3,"Two children wearing red raincoats jumping in puddles on a sunny day.",95821,children
4,"Two children wearing red raincoats jumping in puddles on a sunny day.",21467,children
5,"Two children wearing red raincoats jumping in puddles on a sunny day.",84593,children
6,"Two children wearing red raincoats jumping in puddles on a sunny day.",61258,children
7,"Two children wearing red raincoats jumping in puddles on a sunny day.",39340,children
8,"Two children wearing red raincoats jumping in puddles on a sunny day.",76812,children
9,"Two children wearing red raincoats jumping in puddles on a sunny day.",51934,children
10,"Two children wearing red raincoats jumping in puddles on a sunny day.",14590,children
11,"Two children wearing red raincoats jumping in puddles on a sunny day.",68723,children
12,"Two children wearing red raincoats jumping in puddles on a sunny day.",37921,children
13,"Two children wearing red raincoats jumping in puddles on a sunny day.",91652,children
14,"Two children wearing red raincoats jumping in puddles on a sunny day.",25016,children
15,"Two children wearing red raincoats jumping in puddles on a sunny day.",83241,children
16,"Two children wearing red raincoats jumping in puddles on a sunny day.",70415,children
17,"Two children wearing red raincoats jumping in puddles on a sunny day.",49106,children
18,"Two children wearing red raincoats jumping in puddles on a sunny day.",12784,children
19,"Two children wearing red raincoats jumping in puddles on a sunny day.",67429,children
